タイトル,bookliststory
ぴんきり 麻雀銭道,究極の「違法マンション麻雀」経営暴露！！　こんな不景気にリストラの憂き目に遭った相葉知美。お先真っ暗、人生の岐路に立たされた彼が選んだ第２の人生は違法高レートギャンブルのマンション麻雀経営だった。未知の裏業界、そこ…
バクト,こんなイカサマ野郎、なんてことねーよ！高校生がタイマン麻雀開始！ギャンブル血風録！
理想雀士 ドトッパー,「ドトッパー」とは、怒濤のトップを取れる者。プロを超えた絶対強者。しかし、短期戦ならプロもアマにだって負けうるのが麻雀の世界。これは、競技プロのあり方と、その存在意義について問うた問題作。軽そうに見えて、テーマは重…
夢リーチファイター 素人伝説,実際に公募した素人と3人のプロ雀士が卓を囲み、その様子を漫画化すると言う企画漫画。立ち塞がる麻雀の鉄人「アイアン雀士」は、安藤満らプロ雀士の他、片山まさゆき本人や、プロ並に強い俳優・萩原聖人などなど。それぞれ強さに…
ぶっこみ銀次,俺の名前は的場銀次、自称パチプロだ。つい一ヶ月ほど前まで勤めていた運送会社の女子社員全員に手をつけクビになった。そしてたまたま拾った百円でやったパチンコが大当たりし14万の大勝ち！　その日その時から俺ァプロのパチン…
奥様はゴールドフィンガー,主婦、香月淳子は包丁さばきで動体視力を身につけている。そんな淳子の趣味と実益はパチスロ。目押し抜群、研究心旺盛な淳子はホール導入の新機種、名機種を次々と撃破していく。しかも超美人で色っぽい！！ましてはミニスカが大好…
でんでん虫,十禅寺大道は北海道勇払郡の貧乏寺の息子。そんな彼が、接待旅行でラスベガスに招待された。大道は、様々なギャンブルにに挑戦し、そして勝ち続ける。最初はまぐれで勝っていると思われていたが、彼の博才はとんでもなかった！（第…
天狼,横浜―――。吹きだまりの賭場を流していた志狼。突然現れた美女が、運命の博奕へ彼をいざなう！博徒の誇りを賭けた志狼の大一番がいま始まる！！
打止め銀次郎,バイクに跨り日本全国のパチンコ屋を颯爽と渡り歩くパチプロの弾銀次郎。ただのギャンブル好きでパチンコ屋泣かせの身勝手な奴かと思えば、その実、義理人情に厚いなかなかのいい奴。行く先々で出会う人々と温かな交流を重ね、彼ら…
極麻伝,"天棒では無くチップを使う、つまり勝てば大金、負ければ文無し。ポーカールール勝負する麻雀の事”極麻”  言葉巧みに弱者を騙し食い物にする悪党どもの墓穴に、極麻無敗の天才雀士“飢狼の健”が牙を剥く！
         …"
A-SLOTTERヒロアキ,役者兼ミュージシャン、そして一人のスロッターである輝堂ヒロアキ！そんな彼の学生時代の悪友でありスロプロのアキラ、そしてこの漫画作者の岡村茂先生がホールにて実戦し、その攻略方を描いた伝説のパチスロ攻略漫画【A-SLO…
A-SLOTTER NEO,あの数々の伝説を残した【A-SLOTTER】が帰って来た！岡村茂先生と輝堂ヒロアキがまたまた伝説を作り出す！
リールゲイザー,ライターゲイザー輝堂登場！ライターとして活躍し出した輝堂ヒロアキがまたまたパチスロ界で伝説を作りだす!!
パチスロ最強伝説シャドースロッター,攻略ライターのハリー春男・通称ダメ春。パチスロダイナマイトで記事を書くフリーのライターであるが誌面での実戦バトルは連戦連敗。ついたあだ名がダメ春。しかし彼には別の顔もあって…!?
ドラゴン先生のファイヤードラゴン5,パチスロ業界では数多くの専門雑誌も刊行されているが、その頂点に立ったという男、ドラゴン先生のファイヤードラゴン5がついに登場!!サラリーマンの遊戯出来る時間に合わせ、ドラゴン先生が立ち回り方を伝授!?他、プライベー…
ぶっちぎりスロッターMAX,複数の攻略誌、パチスロ誌で活躍するプロスロッターの高木MAXはいかにして誕生したのか…。ガラは悪いが細かな調査、データを基にプロのドブネズミとしての立ち回りする高木MAXを描く作品。
爆裂スロッターMAX,技術より行動で高設定機を掴む立ち回りをするスロプロの高木MAX。世間が不況と言われていても彼は仲間のマサルらと共にスロットを回す。自分の環境をリセットした高木が再びMAXに戻れるのか!?
ドラゴン&MAX,数々の攻略誌、パチスロ漫画誌などで執筆するカリスマライターによる、常に勝てる情報を基に長年の経験と理論から行われる立ち回りを纏めた1冊。読めば必ず役に立つ情報を頭に叩き込め!!!
しりあす甚一,パチンコ・競輪・麻雀・女……そのどれもに異常なまでの探求心と執念深さを見せる甚一。自らを「知的中産階級」と位置づける彼は、しんどい思いをして働いた給料をギャンブルにぶち込む者を「低額所得者共」と切り捨て、あくまで生…
まんちょくスナイパーとどめ,一見普通の、ちょっとカワイイ（実は相当腹黒い）女子高生「息ノ根とどめ」は、卓上の誰か一人を徹底的に狙い打って確実にラスにする「まんちょくスナイパー」！冒頭はいつもの軽いノリだが、とどめの壮絶な過去とその特異な雀風の…
運王,新月闇男はツキは全く無いが麻雀の腕はピカイチ。だが、「トイレ休憩」を駆使して意図的にぬるい卓を選んだり、セコい招運ジンクスとセコい戦術を駆使してセコく勝ち続けたりと…まあ、相当な嫌われ者だ。そんな闇男の行きつけの「…
雀鬼,20年間無敗を誇ったという実在のプロ雀師、「雀鬼」こと桜井章一をモデルに描いた麻雀漫画。大学時代に麻雀を覚え、まだ仲間内で楽しく打っていた頃。章一は素人のその腕で、素人相手にイカサマを使うプロ雀師を打ち負かしてしま…
真説桜井章一 ショーイチ,20年間無敗を誇り、「雀鬼」の通り名で生きる伝説となった実在のカリスマ雀師・桜井章一の半生とその闘牌をモデルに描いた麻雀劇画。 既にプロの世界を引退した桜井と、重い病気を患った15年来の弟分・南雲。二人の兄弟の絆を…
Bugsy ～新宿リアルギャンブラー～,過去に裏カジノを20軒以上立ち上げた作者によるリアルなアングラカジノ漫画が登場！ヤクザなどの依頼を受けて、アングラカジノの運営を取り仕切るカジノ経営のプロ集団、通称”ゲーム屋”。そんなゲーム屋の１人、大島アキラの目…
威打天,裏麻雀界で活躍する氷の女雀士・水無月冬子。亡き夫・和馬の復讐を描いた「打天使」番外編として、知られざる和馬の闘牌とそして冬子の若かりし頃が描かれる、本格麻雀コミック！
しのけん,パチスロ漫画では「設定1000」などの実績を誇る漫画家・あぎじゅんこが流麗な筆致でしのけんのすべてを描き尽くす！
打天使‐完結編,"15年前の夫の死の謎を解き明かすべく、一瞬の迷いが地獄を招く代打ちの世界へ和也と共に舞い戻った水無月冬子。手負いの冬子を打つべく獣達が牙を向く中、夫の仇「骨の牌」を倒すべく氷の雀士 冬子が目覚める！
       …"
伝説の雀鬼,20年間無敗を誇った生ける伝説、麻雀界のカリスマヒーロー、「雀鬼」こと桜井章一の「男の生き様」を綴った「Shoichi」シリーズ第三弾。『真説・桜井章一 ショーイチ』の続編。勝負に臨む前の心のあり方や、麻雀を通じて…
千億の蟲,女医でありながら子供の頃から博打好きで患者の命をも賭博の対象としていた野々村病院の一人娘、塔子。幼馴染の久美は胸の病気で塔子の診察を受けていたが久美の夫、英二郎の吐いた嘘が元で自殺してしまう。真相を知り怒った塔子は…
プレイス ファジスト マネー,不況で会社が倒産し、ハケンになってから会社を転々としながらも悉くクビになった青年、五十凹器。手元に残った全財産3200円を自らの命の値段とし、好きな麻雀に運を委ねる!! 「負けたら死」を覚悟した男を中心に金と麻雀の…
設定6を狙い打て！ろく式,"「これが最強のパチスロ漫画だ！！」狙うは、黄金の設定6！　パチスロにおいての最高設定6を、主人公・タケポンと、漫画家・市川ヒロシが狙い打ち！！……とはいっても基本は楽しく愉快な“ズッコケ”実戦漫画です！
     …"
ガットショット,ポーカーに青春を捧げた少年少女がそれぞれの目標に向かって突き進む熱きポーカーストーリー。運だけでは勝つことができない奥深いポーカーの世界を日本ポーカー協会監修のもと本格的に描く。
毎日がスロ曜日,"元OLのパチスロライターで、スロマガ本誌でも活躍中！　基本の目押しは素人レベルでも、“立ち回り”は超一流！　元気印・太鼓判のかわゆい『スロット・エンジェル』です！　『スロマガコミックV7』誌上で好評連載中！
   …"
麻雀蜃気楼,強く生きるとは、何か。楽しく生きるとは、何か。―――どこにでもいる人並みのサラリーマン・野中雄二。野心はあれども、平凡な生活から足を踏み外すようなことはないと思っていた。そう、あの雀荘で、ヤツと出会うまでは……壮絶…
てんぱいっ!,四年に一度開かれる麻雀大会「雀王決定戦」凄腕雀士が集う大会で優勝を目指す三姉妹。これは雀王決定戦に宿命付けられた少女達の、汗と涙とちょっぴりエロスな物語である??!!
ギャンブル王,不幸な目に遭えば遭う程にツキを呼び込む特異な男・塚内あたる！！ひょんなことから天才ギャンブラーと勘違いされ、王手グループの財務部特別課に抜擢。勤めることになってしまった……。この課の目的は、ギャンブルで勝ち続け会社…
哭きの竜 外伝,日本を真っ二つに分ける東の桜道会、西の関西共武会。二つの巨大極道組織は、表向き平静を保ちながら水面下では面々と抗争を続けてきた。そんなさなか、桜道会会長・三上信也は密かに西を目指す。目的は、１０年前、自らの命によっ…
ムダヅモ無き改革,小泉ジュンイチローや麻生タローが、アメリカのブッシュや北の将軍様、ロシアのプーチンらと、バカとノリと熱血と爽快感だけで麻雀対決する漢（おとこ）漫画（笑）。小泉さんと麻生さん、漢すぎます（笑）。パパ・ブッシュとプーチ…
ゴールデンパチンカー,浪人生・玉出勝巳のとっておきの特技、それはパチンコ！　18歳の玉出は、通っている予備校でCDやゲームを割安で売っていた。商品は全てパチンコの景品。だが、予備校のアイドル・沢田カナには大幅値引きするなど下心丸見えの玉…
賭博師 梟,襲来する賭場荒らし・フクロウ！獲物は雀荘・五稜郭、迎え撃つは腕に覚えの三銃士！不屈の男たちは、全てを賭けて博奕に向かう――！
麻雀鬼ウキョウ,数々の修羅場を切り抜けてきた、高校生雀士・松本右侠の壮絶な闘いが、今始まる！　牌を握ったらきれいごとは通じない……千手を尽くして勝つか負けるかただそれだけ……。
GAMBLE FISH,研ぎすまされた頭脳と不屈の気迫を併せ持つ生粋のギャンブラー、その名は白鷺杜夢!!　閉鎖されたエリート学園でくりひろげられる、超絶能力を持つ美少女たちとの100億円を賭けたギャンブルの行方は!?
【大増量試し読み版】BADBROS,【大増量試し読み版】高校1年生にして怪物の称号を得る天才打者・村越甲人。その兄に憧れ、日々練習に励む中学2年生の弟・野人。2人の夢は兄弟揃っての“甲子園制覇”。固い絆で結ばれた兄弟の熱戦が今、幕を開ける……はずだっ…
ギャンブラーズパレード,海千山千のギャンブラーが集う、とある島にある高校。”不運体質”のヒロイン・東雲花梨は転校初日から不運に見舞われ、策謀渦巻くギャンブルに巻き込まれていく。そこに不穏な空気とともに”ギャンブル嫌い”の男性教師・蜘蛛手渚…
咲-Saki-阿知賀編 episode of side-A,"幼き頃、麻雀を通じて仲間たちと絆を深め合った高鴨穏乃と原村和。時は流れ、離ればなれになった二人を繋げたのも、やはり麻雀だった。全国大会で旧友との再会を果たすため、仲間と共に穏乃は再び牌を握る――!!
       …"
賭ケグルイ愛,※この商品はPCモニター、タブレットなど大きいディスプレイでの閲覧を推奨しています。※　蛇喰夢子をはじめ、個性豊かな登場キャラクター達の魅力に迫るファンブック。キャラクターの名前の由来や裏話、物語の制作秘話が垣間み…
ライフ・イズ・マネー,心臓病を患う妹の手術代のため、袋小路巡が参加することになった裏社会で行われる非合法のギャンブル、「ナイト・メア・ゲーム」!!一億円か、死か。命を賭けたゲームが始まる!!
賭ケグルイ万　賭ケグルイ公式アンソロジー,TVアニメ化の美少女賭博譚「賭ケグルイ」のアンソロジーコミックがついに登場！　総勢32名もの超豪華執筆陣が描く珠玉のイラスト、コミックの数々。藤原ここあ、望月淳、葉月抹茶らによる「夢子８」イラストも単行本初収録！　…
【フルカラー版】賭ケグルイ,【『賭ケグルイ』がフルカラーになって登場！】名門・私立百花王学園。この学園には階級制度が存在する。生徒会を頂点とするこの学校は「ギャンブル」に支配されている。勝てば天国。負ければ地獄。ギャンブル強者は羨望、弱者は被…
グレイテストM～偉人麻雀大戦～,孔明ｖｓヘレンケラー！？偉人麻雀大戦！！　「次代の神」の座を争い圧倒的な「運命力」を携えた偉人達が麻雀で対決！第1試合は諸葛亮孔明ｖｓニュートンｖｓ葛飾北斎ｖｓヘレンケラー！！偉人達の「能力」と「運命力」がぶつかり…
釘師サブやん,茜三郎・通称「釘師サブやん」が働くパチンコ店に、ある日玉１個だけを買う奇妙な客が訪れる。その客・パチプロの美球一心はサブやんのことをロクでなし釘師と呼び、サブやんがバッチリ締めた台で「忍球玉バサミ」を披露する。それ…
あかよろし 闇花札遊鬼譚,戦慄の花札遊戯、開幕――！　文明開化の明治9年・横浜。柳は父親の借金のカタに己の身体を賭け金にする裏花札賭博『水郷楼』へ連行される。敗北は死。竦む博徒たちの中、柳だけがその戦慄に微笑む…。
ジャンジャンバリバリ,プロ釘師の祖父の影響でパチンコの世界に足を踏み入れた少年・春樹。なんと彼は脅威の能力を持つサヴァン症候群だった!!サヴァンの子が並み居る強豪を相手に熱いバチバトを繰り広げる―！
暗黒回胴伝 将,ゴト行為！ サクラ行為！ そしてスロット店の知られざる裏事実…。ゴト師と疑われたただプータローの甲本将はそのゴト師の組織に、仲間だと思われ救われる。記憶を失った将は組織の一員として活動に加わるが…？ ゴト師とパチン…
少年雀鬼 東,天才少年雀士・東槓（ひがしかん）は、王位戦にその人ありといわれたプロ雀士・東暗刻（ひがしあんこう）の孫なのだ。中学生の槓は、麻雀のすごい打ち手なんだけど、学校では「クラスで一番弱いヤツ」と、バカにされている。槓は、…
賭けゴロ,「私、六本木小菊一家代貸、恩部谷健と申します。もっぱら賭屋でシノイでおります。組長と私、たったふたりの吹けば飛ぶよな極道稼業。でもね、お客さん、なめちゃあ、いけません。賭屋が集金できなけりゃ、死んだも同然ッスからね…
