タイトル,bookliststory
ウイナーズサークルへようこそ,漫画家の夢が砕け失意のどん底にいた山川七雄は、ある日、怪しげな占い師と出会い、お告げをうける。半信半疑のまま、告げられた場所に向かってみると、そこは…競馬場!?　当たったり外れたり、泣いたり笑ったり…。最強の予想軍…
鉄鳴きの麒麟児,職業＝雀ゴロ。麻雀の稼ぎで娘を育てろ！ネット麻雀の覇者がリアル麻雀を制する！「麻雀に流れはない」天鳳十段・渋川難波プロが説く勝つ麻雀の真髄。
じゃじゃ馬グルーミン★UP！,バイク旅行中に行き倒れ寸前で転がり込んだ馬産牧場。馬に魅了され、思春期の少年・久世俊平は一大決心。そうさ、夢は、ダービー馬育成！もう、ものすっごく、“北海道”！馬産地“静内”を舞台に繰り広げられる、夢とロマンの超本…
怜-Toki-,名門・千里山女子高校麻雀部の“一巡先が見える”少女、園城寺怜。小学生だった頃の彼女は、自分の未来についての一巡先を知らなかった──。
ラッキーマイン,捜せ、幸脈を。天運あふれる奇蹟の人を。　掘っても掘っても運が出る。尽きることなく運が出る。そんな鉱脈があると言う。富も地位も名声も。愛も子孫も長命も。掘り当てた者はすべてを手に入れる。人はそれを「ラッキーマイン」と…
麻雀放浪記 風雲篇,「雀聖」と謳われた阿佐田哲也の傑作小説『麻雀放浪記』の第２章『風雲篇』を、当代随一の麻雀劇画家の嶺岸信明が劇画化。麻雀の師・出目徳が死んでから数年後、坊や哲はヒロポン地獄に落ちていた。ヒロポン欲しさに打ったヤクザの…
ダイナマイトダンディ～地獄のワニ蔵～,三度のメシより、揉め事と人が嫌がる事が大好き！何より人に感謝される事が大嫌い！イカサマがバレても暴力で居直り！気に食わない奴らは徹底的に叩きのめす！宇宙一の負けず嫌い、卓上の治外法権男、『根こそぎフランケン』の超危…
バード～砂漠の勝負師～,イカサマ師vsイカサマ師の麻雀漫画と聞くと、ド派手なイカサマ合戦を想像しがちですが、この作品は一味違います！濃厚な心理戦と、ミステリー作品的な謎解きに力点を置いて構成された心理麻雀漫画、とでも言いましょうか。それに…
打姫オバカミーコ,神業的な強運一切無し！出てくる闘牌は全て現実的！やり取りがさりげなく解説になってて、漫画なのにそんじょそこらの麻雀指南書なんかよりずっと勉強になると言う…。流石、片山まさゆき。ノーテンキでオバカな雀師・ミーコが、女…
ぱちん娘。,ダメだけど憎めない、ぱちん娘たち☆『徒然チルドレン』『幸せカナコの殺し屋生活』の若林稔弥が贈る、ハートフルパチンココメディ！
蟻地獄,話題作「トリガー」に続き、インパルス板倉俊之の描き下ろし小説のコミカライズ化。作画は「トリガー」を圧倒的画力で描き切った武村勇治。主人公・二村孝次郎は幼馴染の修平とともに裏カジノでの儲け話を画策する…そして……待ち…
満潮 ! ツモクラテス,麻雀の強さって何だ？その頂は何処にある？麻雀は哲学だ!!波溜とミーコも友情出演!!“運”を巡る深遠な問いに真っ向勝負!!潮は満ちた。今こそ我が運、最高潮!!
角刈りすずめ,この角刈りがすごい！さすらいの角刈りが理想の麻雀を追い求め、みちのく雀荘ひとり旅!!
ぎゅわんぶらあ自己中心派,超強運の持ち主で麻雀の裏プロ・持杉ドラ夫が毎回個性豊かな面子達と麻雀勝負を繰り広げる。麻雀初心者でも楽しめるあんなネタこんなネタを盛り込んだ一冊！
スーパーヅガン,世界一つかん子、豊臣君。ヤス・信太郎・明智の３人組の素敵なカモ。春夏秋冬、東西南北、いつでもどこでも、豊臣のいるところ「づがぁ～ん」の叫び！！
鉄砲,どいつもこいつもちっちぇーッ。山藤弘明（さんどうひろあき）は「麻雀をするために生まれてきた男」を自称する、元・最強の喧嘩番長。その神がかり的な豪運で、予備校そっちのけで転々と通った雀荘生活も一年間無敗。そんな彼が大…
ワシズ　閻魔の闘牌,あの『アカギ』のスピンオフ！今度はワシズ様が主人公！本編以上に狂人…！本編以上にハッチャケまくり…っ！これがワシズ様の全盛期！『アカギ』の20数年前、戦後間も無い日本を舞台に、様々な（荒唐無稽な）麻雀による死闘を通…
連ちゃんパパ,パチンコ狂いの妻が突然の家出!!残された息子と二人、妻を探して日本中を巡る放浪記。300万の借金に残高のない預金。強面の借金取りに追い立てられながら、わずかな手がかりを元に妻を探して日本中を旅回り。少ない軍資金で日…
人間ダービー～金に溺れる母親たち,――母親という“女”の本性を暴くキケンな遊びが始まる！愛息の航一郎が進級でエリートクラス『花組』になった。（私はこうちゃんをのびのび育てたいのに…）そう思う専業主婦の佐江は、医師家系の夫や親族からの重圧、同級生のマ…
人間ダービー～金に溺れる母親たち【合本版】,――母親という“女”の本性を暴くキケンな遊びが始まる！愛息の航一郎が進級でエリートクラス『花組』になった。（私はこうちゃんをのびのび育てたいのに…）そう思う専業主婦の佐江は、医師家系の夫や親族からの重圧、同級生のマ…
ラッキーレディー,千春は、同じ会社の幸司と秘密裏に婚約中。キチンとした式を挙げて、新築のマンションに住むのが夢。その資金づくりのため、質素倹約に励む千春。しかし、同僚からケチと言われショックを受ける。そんな時、先輩の室田がパチンコで…
東京パチンコ娘,先輩につれていってもらったパチンコで隠れた才能を開花させてしまったOLの珠ちゃん。パチンコ娘珠ちゃんが行く先々で出会う個性豊かなパチプロたちと繰り広げるハートフルコメディ！
ミリオンガール,「あたしの宝物。それは母さんから受け継いだ琥珀色に輝く髪」 幼い頃に両親を亡くした琥珀幸はおじに引き取られ、財界トップの子女が通う名門校 帝都学院に通っていた。ある日、幸は学院の実力者 銀雨音から“マネーゲーム”と…
パパは馬券師!!,売れないマンガ家・鈴木イチロー、３３歳。離婚した妻に請求された慰謝料は、生活費を切りつめればなんとか払っていける１千万円のはずだったが、届いた公正証書に書かれている額はなんと……１億円!?　――「賭ける」ということ…
リーマンギャンブラーマウス,「暗闇を見ずに帰れば、アンタはただのネズミや！」――女房が離婚を要求し、横領上司が自殺した夜。カネに執着を感じないエリートサラリーマン・篁（たかむら）は、風変わりな“痴女”に導かれ、雑居ビルに隠された賭場へと足を踏…
リーマンギャンブラーマウス女体地獄編,かつて裏ギャンブル界で伝説となったサラリーマン・篁忠則。だが今の彼は、総務部クレーム対応課謝り係として窓際同然の毎日を過ごしている。そこに部下として巨乳娘の早乙女操が配属されてきた。戸惑う彼女に、篁は謝り係のイロハ…
天竜牌,高校生・天ヶ崎竜也は、失踪した父が残した雀荘で、打ち子として客の相手をする毎日を送っていた。そこに花竜という謎の美女が現れ、父の借金80億円の返済を竜也に求める。払えるわけもない竜也。花竜は謎の異空間で開催される究…
パチンコ・ドンキホーテ,『大工の源さん』『黄門ちゃま』『海物語』など懐かしの名機を作者自身がホールで打って、その結果を正直に報告する実録ドキュメンタリー漫画第1巻！！
雀首,人の皮を被った守銭奴の埋蔵金を掘り起こす!!　目標1兆円の超高額勝負。稀代の牌術師・小日向ジョーの本格アウトロー麻雀伝説!!
すずめの唄,リストラされた3人の男が再就職セミナーで出会い、共同出資で雀荘を経営することに。かわいい女子バイトのカオリちゃんとともに顧客獲得に励むが、来るお客さんは奇人変人ばかりで…!?
麻闘伝　ぬえ,裏世界を震撼させた男の狂気、解禁。欲望蠢く裏レート麻雀の世界「凍牌」スピンオフ第2弾!!氷のK、堂嶋に立ちふさがった最凶の難敵・若かりし高津則之の物語!!関東一円に勢力が及ぶ暴力団組織・桜輪会に若くして入門し、その…
脱衣雀荘すーあんこ～美人四姉妹がお出迎え～,見た目は普通のフリー雀荘。美人四姉妹が働くそこはリアル脱衣麻雀!?勝てば脱がせる特別サービスに数々の挑戦者たちが勝負を挑む！長女の喜多恵は幼い見た目ながらの豊満ボディ！次女の透花は母性溢れる朗らか美人。三女の聖子は…
恋雀、和っていいとも!!,トラック野郎ダンプさんの「恋と麻雀」に明け暮れる日々を、人情豊かに描き出す伝説の麻雀漫画シリーズが電子書籍で甦る！昭和の下町に生きる、長距離トラックの運転手ダンプさんは大の麻雀好き。今日も今日とて独身で幼なじみの悪…
天牌外伝DELUXE,『週刊漫画ゴラク』で好評連載中の『天牌』、主人公・沖本瞬の師匠である黒澤義明は、麻雀職人と呼ばれ、その存在は生きながらに伝説である!!彼を主人公として、卓上での様々な勝負や人との出会いを描いた孤高の抒情詩『天牌外伝…
死神サイ殺ゲーム,賭けるは、己の命！　賽を振れ！　願いを叶えるために！！　死神×異常賭博！　「答えは全て知りたい」がモットーの高校3年生・神沢正心。彼の父親と妹は交通事故で瀕死の重体となってしまう。だが、神沢は、絶望の中、妹・萌香の…
東大を出たけれどovertime,東大を出たけれど、金なし妻なし子供ありの麻雀プロ。こんな人生ありですか?実話をもとにした高学歴麻雀エレジー。激変する麻雀界、その中で須田はどう生きるのか。★単行本カバー下画像収録★
近代麻雀0号,近代麻雀の人気連載漫画が、なんと第1話×12作品無料で読み放題!!  「アカギ」「むこうぶち」「ムダヅモ無き改革」「BW(ビューティフルワールド)」「麻雀小僧」「鉄火場のシン」「鉄鳴きの麒麟児」「HERO」「雀荘の…
ムダヅモ無き改革　プリンセスオブジパング【分冊版】,シリーズ累計２５０万部！政治×麻雀×アクション漫画の金字塔待望の新章スタート！！！！！！今度の敵（!?）はアメリカの暴君・第４５代米国大統領D・トランプ。そして日本の危機を救うのはなんと…最強のDNAを持つ皇族系（…
