タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
ひかり!出発進行,https://cf.image-cdn.k-manga.jp/cover_200/10/109648/b109648_1_200.jpg,青年漫画,ギャグ・コメディ,水井麻紀子,"巻完602pt
              
              お気に入り：3人",女子高生・能島ひかりは昼間は普通の女子高生。でも、本当はちょっとトクベツな女の子。朝と放課後は駅長さんなのだ！　山あいのローカル線ぽかぽか鉄道の無人駅「みはらし」で働く、女子高生ボランティア駅長が、素敵なステーショ…
未熟なふたりでございますが 分冊版,https://cf.image-cdn.k-manga.jp/cover_200/10/109675/b109675_1_200.jpg,青年漫画,ギャグ・コメディ,カワハラ恋,"巻100pt
              
              お気に入り：84人",クールな嫁との新婚生活は、恥ずか“死”必至！　お互い未経験、最後の一線を越えないまま結婚した、育馬と澄花。ひとつ屋根の下、ひとつベッドの中、ピュアなふたりのイチャイチャ攻防戦が幕を開ける。『淫らな青ちゃんは勉強がで…
魔法少女になれません。,https://cf.image-cdn.k-manga.jp/cover_200/10/109682/b109682_1_200.jpg,青年漫画,ギャグ・コメディ,新井春巻,"巻630pt
              
              お気に入り：21人",シャドウを退治するプロの魔法少女・川下さおり。田舎から都会に出てきたばかりの女子中学生。都会で独り暮らしの荒波が魔法少女に襲いかかる。バイト先の店長の熱血が、同級生の善意が、同じ魔法少女のライバル心が、さおりの変身…
進め！怪人くらぶ,https://cf.image-cdn.k-manga.jp/cover_200/1/10970/b10970_1_200.jpg,青年漫画,ギャグ・コメディ,鈴木典孝,"巻完600ptコマ完50pt
              
              お気に入り：7人",普段はマジメな委員長・潮香の誰にも言えない秘密。それはエロコスチュームを身にまとい、イライラを解消すべく絶頂めがけて大暴れすること。そんな彼女の前に超高性能ロリロボ少女・ようこが転校してきて、ちょっとエロ多めなハプ…
パワハラ美少女カンパニー,https://cf.image-cdn.k-manga.jp/cover_200/10/109732/b109732_1_200.jpg,青年漫画,ギャグ・コメディ,広間月下,"巻完570pt
              
              お気に入り：36人",不思議な眼鏡をかけたら、パワハラ上司（♂）が美少女に!?　パワハラに悩むうだつの上がらない会社員小山内（おさない）が手に入れたのは、オッサンが美少女に見えるVR進化形メガネ!!　眼鏡（これ）さえあれば、無茶な仕事を…
ふしぎねこのきゅーちゃん,https://cf.image-cdn.k-manga.jp/cover_200/10/109759/b109759_1_200.jpg,青年漫画,ギャグ・コメディ,にとりささみ,"巻800pt
              
                  
                
                5.0（1件）
              
              お気に入り：206人",ふしぎなねこのきゅーちゃんに「かわいい」「癒やされる」との声多数！　累計１２万ＲＴの話題作。１人と１匹のほっこりコメディ♪
プロレスメン,https://cf.image-cdn.k-manga.jp/cover_200/10/109837/b109837_1_200.jpg,青年漫画,ギャグ・コメディ,ジェントルメン中村,"巻600pt
              
              お気に入り：3人",舞台は業界５～６番手の弱小団体マスラオプロレスリング、主人公はマスラオプロレス新弟子　虎馬俵太ッ！！そして俵太が付き人を務めるお方は、極悪ヒールユニット“ホームレス・ウォリアーズ”！！！筋肉道化師たちの血なまぐっさ…
変な知識に詳しい彼女 高床式草子さん,https://cf.image-cdn.k-manga.jp/cover_200/10/109889/b109889_1_200.jpg,青年漫画,ギャグ・コメディ,おはなちゃん,"巻完630pt
              
                  
                
                2.3（3件）
              
              お気に入り：260人",美人でクールで頭がいい憧れのクラスメイト・高床式草子さんに、バカで平凡な根住くんが告白したら奇跡的に付き合えることに！しかし彼女には意外な一面が‥‥。そうーー彼女は、変な知識に詳しかった‥‥。胸がワクワクするエロ雑…
類はトモを呼ぶ,https://cf.image-cdn.k-manga.jp/cover_200/10/109892/b109892_1_200.jpg,青年漫画,ギャグ・コメディ,Marita,"巻完550pt
              
              お気に入り：14人",「次にくるマンガ大賞2018」「pixiv web総選挙2018」にWノミネート！！！　ある冬の日、偶然出会った無表情イケメン・須々岐 辰寿といつも顔に傷がある・田原 茅。この二人をきっかけに、ちょっと変わった“類…
わたしが強くしたい神,https://cf.image-cdn.k-manga.jp/cover_200/10/109907/b109907_1_200.jpg,青年漫画,ギャグ・コメディ,厘のミキ,"巻600pt
              
                  
                
                2.0（1件）
              
              お気に入り：40人",手軽な初心者向け“おうち筋トレ”満載！ 崖っぷち小説家と天然女子高生のゼロから始めるステップアップコメディー開幕。第１巻のメニューは「広背筋に効く！」「腹筋に効く！」「猫背改善！」「食生活改善！」「自身が付く！」で…
類はトモを呼ぶ 分冊版,https://cf.image-cdn.k-manga.jp/cover_200/10/109914/b109914_1_200.jpg,青年漫画,ギャグ・コメディ,Marita,"巻150pt
              
              お気に入り：14人",出逢って、つながって、運命になる！　ある冬の日、偶然出会った無表情イケメン・須々岐 辰寿（スズキ タツトシ）といつも顔に傷がある・田原 茅（タハラ チガヤ）。この二人をきっかけに、“類トモ”達が次々と集まっていき……
ムギのころ,https://cf.image-cdn.k-manga.jp/cover_200/10/109970/b109970_1_200.jpg,青年漫画,ギャグ・コメディ,片倉真二,"巻完820pt
              
              お気に入り：5人",スマホもネットも普及していなかったあの頃、うちにはお相撲さんと拾ったばかりの子猫がいた。今から２０年以上前、女子高生だった“私”が振り返る、おかしくもやさしい相撲部屋の日常。『ペン太のこと』の片倉真二が描く’９０年…
アフター5の女王たち,https://cf.image-cdn.k-manga.jp/cover_200/10/109983/b109983_1_200.jpg,青年漫画,ギャグ・コメディ,六反りょう,"巻610pt
              
              お気に入り：23人",昼は地味なOLまどかは、 夜は見習い女王様！？ 「女王様になりたい！」 意を決して飛び込んだ名門SMバー・ヌードリップに集う先輩たちにOLから女王様へと「調教」されていくまどか！そこに職場のイケメン村上がやってきて…
レキアイ! 歴史と愛,https://cf.image-cdn.k-manga.jp/cover_200/10/109985/b109985_1_200.jpg,青年漫画,ギャグ・コメディ,亀,"巻完610pt
              
              お気に入り：31人",凡人には理解不能！？　教科書には載せられない、歴史的奇才たちが繰り広げたエキセントリックな愛憎劇！　　「ツイ４」好評連載作品、待望のコミックス化！
すくみズ！,https://cf.image-cdn.k-manga.jp/cover_200/11/110725/b110725_1_200.jpg,青年漫画,ギャグ・コメディ,tugeneko,"巻完922pt
              
              お気に入り：8人",「一年間水着で過ごせたら、プールを作ってやる」。女の子たちの紺色スクールライフがフルカラーで単行本化！　水泳はしてません！
春ウララ,https://cf.image-cdn.k-manga.jp/cover_200/11/110729/b110729_1_200.jpg,青年漫画,ギャグ・コメディ,石川優吾,巻完500pt,飯盛山学園高等部2年の小林と関根は野球部の落ちこぼれ。その2人が何と女子野球部に入ることに!?　しかも女子寮住まいを余儀なくされる。女性への関心は人並み以上に強い。だが2人には悲しい宿命があった。小林は極度の早漏で…
ハニカムチャッカ,https://cf.image-cdn.k-manga.jp/cover_200/11/110737/b110737_1_200.jpg,青年漫画,ギャグ・コメディ,大川ぶくぶ,"巻630pt
              
              お気に入り：5人",『ポプテピピック』の大川ぶくぶが贈る最新作。時代が求めたニュースター「ハニカムチャッカ」が発信する新時代Ｊ－ＰＯＰコミック！
リビングデッドキッチン,https://cf.image-cdn.k-manga.jp/cover_200/11/110742/b110742_1_200.jpg,青年漫画,ギャグ・コメディ,黒田じっこ,"巻完570pt
              
              お気に入り：13人",ゾンビの双子と共同生活！　意外にかわいい!?　ゾンビの飼い方コメディ！　ゾンビの拡大に人類が危機に瀕した近未来。その感染性と攻撃性を取り除くことに人類が成功してから月日が流れ…恐怖が薄れかけた人々の間でなんとゾンビ…
4コマまんが マジオチくん,https://cf.image-cdn.k-manga.jp/cover_200/11/110868/b110868_1_200.jpg,青年漫画,ギャグ・コメディ,遠藤,"巻完700pt
              
              お気に入り：1人",時は西暦2010年――。ギャグ同人誌界に彗星のごとく登場したトンガリ作家、その名は遠藤。コイツの描く荒々しい画風とシュールなネタは一度読むとクセになる中毒性アリ!!!　世界中探したって、こんなマンガはコイツしか描け…
レンタル彼女月田さん,https://cf.image-cdn.k-manga.jp/cover_200/11/111663/b111663_1_200.jpg,青年漫画,ギャグ・コメディ,時田時雨,"巻600pt
              
              お気に入り：13人",コンビニの女性店員にお釣りを渡されるのも緊張してしまうほどの超絶奥手男子・星野理人（２６）。女性に慣れ、男として成長するため、勇気を振り絞って予約したのはレンタル彼女！　しかし、やってきたのはちょっと（？）変わった…
嗚呼!祐天寺家,https://cf.image-cdn.k-manga.jp/cover_200/11/111697/b111697_1_200.jpg,青年漫画,ギャグ・コメディ,亜月裕,"巻完600pt
              
              お気に入り：1人",祐天寺家家訓その一、家長元気で家内安泰！　100歳になっても脳年齢・肉体年齢ともにスティル・ヤングな白楽翁。そんなスーパー爺さんを中心とした、四世代10人家族の祐天寺家は今日も今日とて大騒動。「メシはまだかね」が口…
大字・字・ばさら駐在所,https://cf.image-cdn.k-manga.jp/cover_200/11/111704/b111704_1_200.jpg,青年漫画,ギャグ・コメディ,うえやまとち,"巻完600pt
              
              お気に入り：1人",博多警察で巡査をしていた青年・岩本に『ばさら』への転勤が命じられた。恋人とも別れ、一人新天地へ赴く岩本。彼を慕う少女・けいこちゃんと共に迎える村での新しい生活。そこで待ち受けていたのは――？
快晴高校女子応援団 ちあ！,https://cf.image-cdn.k-manga.jp/cover_200/11/111707/b111707_1_200.jpg,青年漫画,ギャグ・コメディ,名峰礼司,"巻完600pt
              
              お気に入り：2人",バスト100センチ、泣く子も黙る豪快ねーさん・藍田杏子が仕切る恐怖のチアリーディング・チーム「快晴高校女子応援団」に、飛び道具満載のヤンキー女・八木レイコが入部。無法地帯な快晴高校女子応援団は、さらにスゴいことに……
ガキおやじ,https://cf.image-cdn.k-manga.jp/cover_200/11/111711/b111711_1_200.jpg,青年漫画,ギャグ・コメディ,いがらしみきお,"巻完600pt
              
              お気に入り：1人",西山三歳(にしやま・みとし)、４４歳。玩具メーカー勤務(ただし会社には行かないが)。オヤジなりの社会的地位と知能とエロさを兼ね備えた男が、ガキのように自らの欲望を忠実に遂行しようとする。これは、そんな字義どおりのマ…
GOD SAVE THE すげこまくん！,https://cf.image-cdn.k-manga.jp/cover_200/11/111714/b111714_1_200.jpg,青年漫画,ギャグ・コメディ,永野のりこ,巻完600pt,聖フェリシア女子大を卒業し、あこがれの教職についた松沢(まつざわ)先生。しかし、彼女が新任教師として赴いた学校には、もうすごくすんごくすげー困った超問題児・すげこま(菅駒)くんが待ち受けていたのだった。次々に繰り出…
さばおり劇場,https://cf.image-cdn.k-manga.jp/cover_200/11/111716/b111716_1_200.jpg,青年漫画,ギャグ・コメディ,いがらしみきお,"巻完600pt
              
              お気に入り：1人",鬼才・いがらしみきおの隠れた名作がここに復活！炸裂するシュールレアリズムギャグ！！！パンダはアップで見るとものすごくツリ目なのです。
大正野郎,https://cf.image-cdn.k-manga.jp/cover_200/11/111723/b111723_1_200.jpg,青年漫画,ギャグ・コメディ,山田芳裕,"巻完600pt
              
              お気に入り：6人",芥川龍之介をこよなく愛し、竹久夢二の絵を部屋に飾り、番茶よりもほうじ茶を好む、大正時代かぶれの青年・平徹（たいらてつ）。彼と、笑顔が素敵な由貴ちゃんら下宿先の住人たちの、ごく普通で、どこか普通じゃない日常を描く、山…
鉄魂道！,https://cf.image-cdn.k-manga.jp/cover_200/11/111725/b111725_1_200.jpg,青年漫画,ギャグ・コメディ,安田弘之,"巻600pt
              
              お気に入り：2人",B級美女満載！！誰が見ても美女ってわけじゃないけど、何だかラブリー、チャーミング。そんなB級美女がずらり14人、きっとあなたのタイプがいる！
ドトウの笹口組,https://cf.image-cdn.k-manga.jp/cover_200/11/111730/b111730_1_200.jpg,青年漫画,ギャグ・コメディ,若林健次,"巻完600pt
              
              お気に入り：1人",読むとメチャメチャ元気になる！！　ちょっとがさつだけど、気は優しくて力持ち！！　ご存知、日本一の建築屋・笹口組のメンバーが繰り広げるハートフルコメディ！
なんでもツルカメ,https://cf.image-cdn.k-manga.jp/cover_200/11/111733/b111733_1_200.jpg,青年漫画,ギャグ・コメディ,犬丸りん,"巻完600pt
              
              お気に入り：1人",好奇心満タンで何にでもすぐにのめり込んでいく、何でもない日常も驚きがいっぱいの幼児・りんちゃん。優しい家族やオモシロい友達に囲まれて生活するりんちゃんの楽しい毎日を描いた犬丸りんのデビュー作にして、自伝的エッセイ・…
日直番長,https://cf.image-cdn.k-manga.jp/cover_200/11/111734/b111734_1_200.jpg,青年漫画,ギャグ・コメディ,タイム涼介,"巻完600pt
              
              お気に入り：2人",セーラー服を着こなすナゾの転校生、アオキ君。転校初日、彫りだしたら止まらない机彫刻家から自分の机を守り抜いたアオキ君は、クラスの仲間から見初められ、ひと晩にして日直番長に。いつか日直を交代できる日を心待ちにしながら…
のぼるくんたち,https://cf.image-cdn.k-manga.jp/cover_200/11/111735/b111735_1_200.jpg,青年漫画,ギャグ・コメディ,いがらしみきお,"巻完600pt
              
              お気に入り：1人",老人ホーム「サントピア瑞宝園」を舞台に繰り広げられる、ブラック・ジョーク全開のギリギリ・コメディー。自分の年を忘れてしまう主人公「のぼるくん」を中心に、囲碁仲間の文豪・川馬鹿先生や、戦争経験を熱く語る「カッコイイじ…
ヒカルンパッ☆,https://cf.image-cdn.k-manga.jp/cover_200/11/111742/b111742_1_200.jpg,青年漫画,ギャグ・コメディ,大橋薫,"巻完600pt
              
              お気に入り：1人",お父さんがリストラされて、そのまま倒れて、ひかる、高校中退して働くしかなかったんです。そしたら人材派遣会社に拾われました。やさしい社長さんや、スタイル抜群の先輩がいて、どこに派遣されるか、とっても楽しみです！　派遣…
ひまあり,https://cf.image-cdn.k-manga.jp/cover_200/11/111743/b111743_1_200.jpg,青年漫画,ギャグ・コメディ,上野顕太郎,"巻完600pt
              
              お気に入り：1人",日常生活は謎に満ちている。日本一ヒマな漫画家、うえけんこと上野顕太郎が繰り広げる、世にもくだらない考察の数々。でも読んでみるか、ヒマだからな！！
ザ・グレート・セレクション・オブ・スズキ,https://cf.image-cdn.k-manga.jp/cover_200/11/111801/b111801_1_200.jpg,青年漫画,ギャグ・コメディ,安井雄一,巻完500pt,本書は、月刊アフタヌーン連載の『スズキ』およびその前身作品『金太郎のうた』からけっこう適当に、あのね、セレクトした傑作選です。一応、掲載時の古いものから順に並んではいますが、別にどこから読んでいただいてもアレですか…
スズキ,https://cf.image-cdn.k-manga.jp/cover_200/11/111808/b111808_1_200.jpg,青年漫画,ギャグ・コメディ,安井雄一,巻500pt,飼い犬の名はスズキ。鈴木さんにもらった犬なので名前はスズキ。宮本家の金太郎くんとおじいちゃん、そのライバルであり親友の近藤と松尾のおじいちゃん。そんな彼らの日常を描いた脱力系４コママンガ。
ちちょんまんち,https://cf.image-cdn.k-manga.jp/cover_200/11/111810/b111810_1_200.jpg,青年漫画,ギャグ・コメディ,小林まこと,"巻完600pt
              
              お気に入り：6人",これは“愛を与えるばかりで”生涯を処女のまま大往生を遂げたノービル平和賞受賞の医師・水上千八（みなかみ・ちや）が、「愛の楽園地獄（ちちょんまんち）」で、とんでもなく恐ろしい（？）“愛の修行”を続けるという、どこまで…
超市民F,https://cf.image-cdn.k-manga.jp/cover_200/11/111812/b111812_1_200.jpg,青年漫画,ギャグ・コメディ,坂本六有,"巻400pt
              
              お気に入り：1人",現代の悪をナゼかブチのめす肉弾劇画家、その名はF(エフ)!!　唸りをあげる“怒りのペン”が、のさばる悪を許さねえ!!　体長数メートルの巨大な肉体を、日々劇画に叩きつけるF先生が、世間の悪を処分する痛快ほのぼの爆笑バ…
泣く男 山田芳裕短編集,https://cf.image-cdn.k-manga.jp/cover_200/11/111820/b111820_1_200.jpg,青年漫画,ギャグ・コメディ,山田芳裕,"巻500pt
              
              お気に入り：3人",ギターを愛する男・木田は超絶テクニックを持ちながら、一度演奏に入ると自分とギターと音だけの世界に没入してしまい、そのため、バンドメンバーや周りの人々からは敬遠されていた。しかし、自ら奏でるギターの音を「音があんまり…
ねこロジカル,https://cf.image-cdn.k-manga.jp/cover_200/11/111826/b111826_1_200.jpg,青年漫画,ギャグ・コメディ,高田三加,"巻完600pt
              
              お気に入り：1人",「われわれは、ネコ権尊重を主張する!!」――ネコネコ様は、人間世界をロジカル（＝論理的）に見ているのだっ。だらしな～く黄ばんだ白ネコ＝「林太郎（りんたろう）」をはじめ、カツラみたいな模様を乗っけた「山下帽子店」に、…
りっちゃんのくちびる,https://cf.image-cdn.k-manga.jp/cover_200/11/111845/b111845_1_200.jpg,青年漫画,ギャグ・コメディ,綾坂みつね,"巻完600pt
              
              お気に入り：7人",イメクラってゆーのは、コスプレをしてHな遊びをする風俗（ところ）だよ!!　――天才イメクラ嬢のりっちゃんは、ひとたびコスチュームを着替えれば、どんな人にもなりきれちゃう。時にはナース、時にはOL、セーラー服もお手の…
陽子さん、すがりよる。,https://cf.image-cdn.k-manga.jp/cover_200/11/112179/b112179_1_200.jpg,青年漫画,ギャグ・コメディ,スズモトコウ,"巻完420pt
              
              お気に入り：84人",つっけんどんな森岡くんと、ちょっと陰キャ（？）な陽子さん。なぜか皆から浮いちゃう２人と、クラスの愉快な仲間が紡ぐ、ハチャメチャ元気なラブコメディ！
スカタン天国,https://cf.image-cdn.k-manga.jp/cover_200/11/112246/b112246_1_200.jpg,青年漫画,ギャグ・コメディ,北道正幸,"巻完600pt
              
              お気に入り：2人",春……それは別れの季節。――そして、新たなる出会いの季節。イジメを苦に自殺をしようとしていた小暮(こぶ平)だったが、毎朝屋根の上を通っていく紫のリボンの少女・リカを見るたびに思いとどまっていた。しかし彼をカツアゲし…
スカタン野郎,https://cf.image-cdn.k-manga.jp/cover_200/11/112247/b112247_1_200.jpg,青年漫画,ギャグ・コメディ,北道正幸,"巻600pt
              
              お気に入り：1人",リカは父親の都合でやって来た大阪になかなか馴染めずにいた。そんなある日の帰り道、リカが路地裏で見つけたものは、なんと“心臓”だった!!　――夢と自由とロマンのてんこ盛り、なにわコテコテお笑いスペクタクルサイエンスア…
乙女文藝ハッカソン,https://cf.image-cdn.k-manga.jp/cover_200/11/112319/b112319_1_200.jpg,青年漫画,ギャグ・コメディ,山田しいた,"巻完600pt
              
              お気に入り：2人",小説執筆は孤独なもの――？ 作家志望の安達倉麻紀が入学した地方大学の文藝部には、そんなイメージを覆す奴らがいた！ ＩＴエンジニアたちがおこなう開発競争「ハッカソン」（ハック＋マラソン）の概念を持ち込み、チームワーク…
ねえちゃんはたかしのことが好きだ好きだ大好きだ!!,https://cf.image-cdn.k-manga.jp/cover_200/11/112327/b112327_1_200.jpg,青年漫画,ギャグ・コメディ,佐藤なり,"巻800pt
              
              お気に入り：17人",同人誌で刊行された、姉と弟が繰り広げる姉弟ものドタバタコメディ『ねえちゃんはたかしのことが好きだ好きだ大好きだ!!』が、１冊の単行本になって登場！　加筆修正された同人誌版４冊（１～４）に加え、単行本用描き下ろし漫画…
被虐男子 藤咲くん,https://cf.image-cdn.k-manga.jp/cover_200/11/112329/b112329_1_200.jpg,青年漫画,ギャグ・コメディ,若槻ヒカル,"巻完600pt
              
                  
                
                5.0（1件）
              
              お気に入り：168人",巨乳の姉と同居することになった藤咲くん。真っ当な恋愛をしたいけど、保護者役のお姉ちゃん、そしてお姉ちゃんの「友達」がそれを許さない！同居姉弟童貞死守コメディ！
美魔女の綾乃さん,https://cf.image-cdn.k-manga.jp/cover_200/11/112373/b112373_1_200.jpg,青年漫画,ギャグ・コメディ,相原瑛人,"巻完600pt
              
                  
                
                4.0（2件）
              
              お気に入り：246人","綾乃３９歳、主婦。美しくて、優しい綾乃さんなんだけど、ときどきちょっとアレなんです！！！　新鋭美麗漫画家・相原瑛人が描く、モーニング人気連載中のアラフォー美魔女日常コメディしっとりドキドキ第１巻。
        …"
けもらいふ,https://cf.image-cdn.k-manga.jp/cover_200/11/112376/b112376_1_200.jpg,青年漫画,ギャグ・コメディ,雪本愁二,"巻完800pt
              
              お気に入り：13人",ちょっぴり変な動物たちとのんびりゆったりもふもふライフ！ツイッターで話題の動物マンガがついに書籍化！ちょっぴり大きくてダンディな声のインコ、突然巨大化したのほほんハムスター、人間に負けちゃうひ弱ぐま…。そんなケモノ…
リトルビッグママ,https://cf.image-cdn.k-manga.jp/cover_200/11/112402/b112402_1_200.jpg,青年漫画,ギャグ・コメディ,弓月光,"巻完500pt
              
              お気に入り：4人",ゴルフ場オーナーの父と3人の息子が暮らす松村家。男所帯の一家に、かわいい女の子がやってきた。プロゴルファーを目指す小沢可南美・17歳。何と父親の婚約者で、息子たちより若い義母になる。プロテストはダントツの成績でトッ…
ななはん 七屋ちょこっと繁盛記,https://cf.image-cdn.k-manga.jp/cover_200/11/112450/b112450_1_200.jpg,青年漫画,ギャグ・コメディ,ももせたまみ,"巻完600pt
              
              お気に入り：2人",『ももいろシスターズ』『せんせいのお時間』のももせたまみが贈る、カワイイ日常系４コマ！　下町の質屋「七屋」で暮らす美人三姉妹のホンワカとした日常に、ちょっとＨなネタをスパイスに入れたコメディーです！　おっとり毒舌の…
SCHOOLMATE,https://cf.image-cdn.k-manga.jp/cover_200/11/112529/b112529_1_200.jpg,青年漫画,ギャグ・コメディ,あづまゆき,"巻524pt
              
              お気に入り：13人",藍川珠樹は新米の中学校教師。着任早々、受け持ちクラスの未来と紗月が何やらやらかしたみたいです。この2人、実は最近人気上昇中のグラビアアイドル！ しかも未来は珠樹の実妹!! ナマイキ盛りな彼女たちにふり回されて珠樹は…
ピンクDEピンク,https://cf.image-cdn.k-manga.jp/cover_200/11/112554/b112554_1_200.jpg,青年漫画,ギャグ・コメディ,東鉄神,"巻524pt
              
              お気に入り：4人",西四葉学園七不思議の一つ「呪いの机」から覚醒し、主人公・真田秋人のクラスメート・早川鈴にとり憑いた美少女幽霊・もも。鈴からももを祓うために秋人の悪戦苦闘の日々が始まる！
危さん,https://cf.image-cdn.k-manga.jp/cover_200/11/112711/b112711_1_200.jpg,青年漫画,ギャグ・コメディ,どれえじゃっきぃ,"巻524pt
              
              お気に入り：1人",三つ編みの銀髪に黄金の冠を戴いたロシアからの留学生・危姫(あぶひめ)様。麗しくもちょっと危ないお姫様と愉快な仲間達の報復絶倒学園ラブコメ、緊急始動!!
お気に召すままご主人サマ,https://cf.image-cdn.k-manga.jp/cover_200/11/112713/b112713_1_200.jpg,青年漫画,ギャグ・コメディ,いとうえい,"巻完524pt
              
              お気に入り：30人",平凡なサラリーマン・関谷公博のアパートにある日突然、野良（のら）メイドのリンが闖入! 強引に主従関係を結んだおしかけメイドのリンだったが、なんと彼女は家事全般が壊滅的に不得意な「駄メイド」だった！！ちょっとHな駄メ…
松ヶ丘エンジェル,https://cf.image-cdn.k-manga.jp/cover_200/11/112724/b112724_1_200.jpg,青年漫画,ギャグ・コメディ,めいびい,"巻524pt
              
              お気に入り：4人",3人の美少女エンジェルが小さな町に舞い降りた。時に勇猛! 時に美麗! 正義の鉄拳で、出没する悪党を惨殺＆殲滅!! 町に平和の凱歌をあげる暴走天使達は今日もフルスロットル!!
白パイ,https://cf.image-cdn.k-manga.jp/cover_200/11/112727/b112727_1_200.jpg,青年漫画,ギャグ・コメディ,山根章裕,"巻524pt
              
              お気に入り：8人",「白バイと寝る女」「変態女」「妖怪ぷるぷる」……数ーの異名を持つ美巨乳白バイ隊員・佳山美香は署内一の凄腕白バイ隊員。だが時速200kmを超えると……!?
彼女の鍵を開ける方法,https://cf.image-cdn.k-manga.jp/cover_200/11/112728/b112728_1_200.jpg,青年漫画,ギャグ・コメディ,中田ゆみ,"巻完524pt
              
              お気に入り：25人",謎の美少女転校生、現る!! しかも彼女はオレの住むアパートの管理人に……!!超ドキドキ思春期ラブコメ!!
SOAPのMOKOちゃん,https://cf.image-cdn.k-manga.jp/cover_200/11/112783/b112783_1_200.jpg,青年漫画,ギャグ・コメディ,久寿川なるお,"巻500pt
              
              お気に入り：3人",泡姫・モコちゃんが心と体をこめて愛情サービスいたします!!　大ヒットのセクシーコメディー!!
キンクロ,https://cf.image-cdn.k-manga.jp/cover_200/11/112786/b112786_1_200.jpg,青年漫画,ギャグ・コメディ,戸田陽近,"巻524pt
              
              お気に入り：3人",美浦の安東厩舎にやってきた二頭の良血牝馬、ヒカリタンポポとリリィ。しかし、その天性の能力とはウラハラに、競走馬としては欠陥だらけ。さらに、新米厩務員の真瀬晶は、馬の女の子が好きみたいで……。萌え×競馬、最極コラボ漫…
魔月館奇譚,https://cf.image-cdn.k-manga.jp/cover_200/11/112825/b112825_1_200.jpg,青年漫画,ギャグ・コメディ,井荻寿一,"巻500pt
              
              お気に入り：1人",上京してきた優平クンは管理人さんに一目惚れで即入居……だったが、そこはなんとバケモノ屋敷!?　異才が贈るアパートメントH(エッチ＆ホラー)コメディー!!
少年失格,https://cf.image-cdn.k-manga.jp/cover_200/11/112842/b112842_1_200.jpg,青年漫画,ギャグ・コメディ,高口里純,"巻500pt
              
              お気に入り：2人",ぶっ飛んでますイェーイ!!　超カワイイ男子中学生・強志くんがおっぱいを求めて暴れまくる!!　巨匠渾身のコメディ大作!!
パパはもっともっと大モノ！,https://cf.image-cdn.k-manga.jp/cover_200/11/112868/b112868_1_200.jpg,青年漫画,ギャグ・コメディ,大和正樹,"巻524pt
              
              お気に入り：6人",美人四姉妹の偽者パパ・高城堅治は気は優しくて力持ち、しかも精力絶倫！世のため人のため女性のために働くパパだが、精力絶倫ゆえに女性に言い寄られ今日も大奮闘！男の夢を叶える大人気艶笑コメディ。
透明社員X,https://cf.image-cdn.k-manga.jp/cover_200/11/112892/b112892_1_200.jpg,青年漫画,ギャグ・コメディ,山田こうすけ,"巻524pt
              
              お気に入り：37人",ハケン社員・清水透は、左手であるコトをすると透明人間になれる力を手に入れた。健全な男子なら叶える夢はただ一つ！それは……！？
ばくおん!!,https://cf.image-cdn.k-manga.jp/cover_200/11/112934/b112934_1_200.jpg,青年漫画,ギャグ・コメディ,おりもとみまな,"巻524pt
              
              お気に入り：26人",ちょっと天然ぎみな女子高生・佐倉羽音は、登校途中の坂道にへこたれた事がきっかけで、バイクに興味を持ち始める。すでにバイクに乗っている同級生の天野恩紗とともにバイク部に入部することになった。羽音はさっそく免許の取得を…
にゃっと!,https://cf.image-cdn.k-manga.jp/cover_200/11/112985/b112985_1_200.jpg,青年漫画,ギャグ・コメディ,しぐにゃん,"巻524pt
              
              お気に入り：8人",ある朝目覚めると、飼い猫が美少女に!? さらに、身近なメス猫が続々と…!!ツンデレ美少女にゃんことの嬉し楽しいハーレムコメディ!!
cos-chu,https://cf.image-cdn.k-manga.jp/cover_200/11/113034/b113034_1_200.jpg,青年漫画,ギャグ・コメディ,あずまゆき,"巻524pt
              
              お気に入り：42人",幼なじみの陽菜と付き合うために死ぬ気で脱オタした煌太。しかし、人気コスプレイヤー母娘の美夜＆夕月と同居することになってしまい…!?  脱オタ奮闘ラブコメ、スタート!!
オンノジ,https://cf.image-cdn.k-manga.jp/cover_200/11/113113/b113113_1_200.jpg,青年漫画,ギャグ・コメディ,施川ユウキ,"巻500pt
              
              お気に入り：4人",突然、人がいなくなった世界で、少女・ミヤコと元少年のフラミンゴ・オンノジが暮らしていく、笑えて、驚いて、切なくもなる日常とは…。 鳥と少女と無人街。非日常系ギャグ4コマ!!
森のテグー,https://cf.image-cdn.k-manga.jp/cover_200/11/113123/b113123_1_200.jpg,青年漫画,ギャグ・コメディ,施川ユウキ,"巻500pt
              
              お気に入り：1人",ゆっくり回る風車の下、ゆっくり暮らす猫やパンダや女の子や精霊や鳥や、笑って焦って喜んで泣いてびっくりして戦慄してどっかにいそうでどーにも気になる住民たちを覗いてみよう♪
まじらぼ,https://cf.image-cdn.k-manga.jp/cover_200/11/113134/b113134_1_200.jpg,青年漫画,ギャグ・コメディ,伯林,"巻524pt
              
              お気に入り：1人",交通事故に遭った鈴木君。目覚めると身体がジャガイモに!　そして周りには個性的美少女がいっぱい!　不思議桃色研究生活スタート♪
