タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
童貞絶滅列島,https://cf.image-cdn.k-manga.jp/cover_200/11/116270/b116270_1_200.jpg,少年漫画,ギャグ・コメディ,川崎順平,"巻600pt
              
                  
                
                2.8（20件）
              
              お気に入り：826人",ある日突然、１８歳以上の童貞が死に始め、日本中が大パニックに！　風俗のサービス料は高騰を極め、暴徒化する童貞が続出。政府も未曾有の事態に対策が遅れていく…。１７歳童貞である主人公の英利は、誕生日までに初体験を済ませ…
SKET DANCE モノクロ版,https://cf.image-cdn.k-manga.jp/cover_200/10/100184/b100184_1_200.jpg,少年漫画,ギャグ・コメディ,篠原健太,"巻完371pt
              
              お気に入り：115人","学園生活の中で、誰もが一つや二つ抱えてしまう悩みや問題。それらを何でも解決してくれる、学園生活の助っ人になってくれるヤツらがいた！　彼ら学園生活支援部――通称“スケット団”に、今日も仕事の依頼が舞い込む!!
   …"
ニーチェ先生～コンビニに、さとり世代の新人が舞い降りた～,https://cf.image-cdn.k-manga.jp/cover_200/13/137122/b137122_1_200.jpg,,ギャグ・コメディ,ハシモト,"巻514pt
              
              お気に入り：47人",「神は死んだ」――閲覧数4000000数以上!!!　Twitterを騒然とさせたさとり世代のコンビニ店員、ニーチェ先生ついに解禁!!
吸血鬼すぐ死ぬ,https://cf.image-cdn.k-manga.jp/cover_200/11/113942/b113942_1_200.jpg,少年漫画,ギャグ・コメディ,盆ノ木至,"巻400pt
              
                  
                
                5.0（3件）
              
              お気に入り：166人",行方不明の子供を助けるため、真祖にして無敵の吸血鬼・ドラルクの城にやってきた吸血鬼ハンター・ロナルド!　だがドラルクの正体は、凄まじい頻度で死んで塵と化す史上最弱のザコ吸血鬼で!?
お部屋は見ての汚楽しみ,https://cf.image-cdn.k-manga.jp/cover_200/14/144224/b144224_1_200.jpg,青年漫画,ギャグ・コメディ,束ユムコ,"巻620pt
              
              お気に入り：56人",汚部屋が好きじゃダメですか？　古来より手を変え品を変え延々に繰り返される「汚部屋狩り」。いまこそ冷静に汚部屋の価値を見つめ直してみませんか？　整理収納コンサルタント・更屋敷保は言います。「汚部屋こそ現代人の作り上げ…
銀魂 モノクロ版,https://cf.image-cdn.k-manga.jp/cover_200/10/105112/b105112_1_200.jpg,少年漫画,ギャグ・コメディ,空知英秋,"巻完418pt
              
                  
                
                5.0（5件）
              
              お気に入り：478人","江戸では、突如宙から舞い降りた異人「天人」の台頭と廃刀令により侍が衰退の一途をたどっていた。しかし一人、侍の魂を堅持する男が…。その名は坂田銀時。甘党＆無鉄砲なこの男が、腐った江戸を一刀両断…するかも!?
    …"
Back Street Girls,https://cf.image-cdn.k-manga.jp/cover_200/10/101463/b101463_1_200.jpg,青年漫画,ギャグ・コメディ,ジャスミン・ギュ,"巻600pt
              
                  
                
                5.0（5件）
              
              お気に入り：1777人",人間やめますか？それともアイドルやりますか？　極道3人組がまさかのアイドルデビュー！　しかも売れちゃったよ、オイ!!鬼より怖い組長の全面プロデュースのもと、裏路地美少女アイドル「ゴクドルズ」としてデビューした極道の…
定額制夫の「こづかい万歳」 月額2万千円の金欠ライフ,https://cf.image-cdn.k-manga.jp/cover_200/12/128422/b128422_1_200.jpg,青年漫画,ギャグ・コメディ,吉本浩二,"巻610pt
              
                  
                
                3.6（13件）
              
              お気に入り：189人",「おこづかい、もっとちょうだい！」－－ドキュメント漫画家・吉本浩二が叫ぶ。45歳、月額2万千円。１万円は大好物の「おかし」に使いたい。子供にオモチャをねだられたら、おしまいだ。そして、悩ましくも楽しい「おこづかい」…
勇者に敗北した魔王様は返り咲くために魔物ギルドを作ることにしました。,https://cf.image-cdn.k-manga.jp/cover_200/13/131140/b131140_1_200.jpg,青年漫画,ギャグ・コメディ,とうろう,"巻560pt
              
              お気に入り：37人",暴虐の限りを尽くしたアグニインの魔王は勇者に敗北。かろうじて消滅を免れたものの、全てを失い見る影もないほど落ちぶれて……。力を求めて七転八倒。復活と名誉をかけた漢の冒険が今、始まった――!!
今日から俺は！！,https://cf.image-cdn.k-manga.jp/cover_200/7/75289/b75289_1_200.jpg,少年漫画,ギャグ・コメディ,西森博之,"巻完420pt
              
                  
                
                5.0（6件）
              
              お気に入り：1077人",「この転校をキッカケに俺は･･･」今までさえなかった三橋は目立ちたい一心で金髪パーマでツッパリデビュー！そんな三橋の前にもう一人の転校生、トンガリ頭にマスクでキメた伊藤が現れて･･････。金髪とトンガリ頭の最強ツ…
僕の心のヤバイやつ,https://cf.image-cdn.k-manga.jp/cover_200/11/114574/b114574_1_200.jpg,少年漫画,ギャグ・コメディ,桜井のりお,"巻430pt
              
                  
                
                4.5（10件）
              
              お気に入り：573人",学園カースト頂点の美少女・山田杏奈の殺害を妄想してはほくそ笑む、重度の中二病の陰キャ・市川京太郎。だが山田を観察する内に、京太郎が思う「底辺を見下す陽キャ」とは全然違うことに徐々に気づいていき…!? 陰キャ男子・京…
デキる猫は今日も憂鬱,https://cf.image-cdn.k-manga.jp/cover_200/11/115276/b115276_1_200.jpg,少年漫画,ギャグ・コメディ,山田ヒツジ,"巻860pt
              
                  
                
                4.8（33件）
              
              お気に入り：1873人",仕事以外の生活能力が壊滅的な28歳のOL福澤幸来（サク）と、仔猫の頃に凍死寸前のところを彼女に拾われた家事万能（！）の大きめの猫の諭吉（ゆきち）の思いっきり幸せな一人と一匹暮らしを描く日常4コマ＆ショートコメディー…
今日から俺はロリのヒモ！,https://cf.image-cdn.k-manga.jp/cover_200/11/114767/b114767_1_200.jpg,青年漫画,ギャグ・コメディ,へんりいだ,"巻524pt
              
                  
                
                2.5（2件）
              
              お気に入り：353人",漫画家を目指している天堂ハルは自分のファンだという超お金持ち小学生の二条藤花に養ってもらえることに!　藤花の豪邸で自堕落に暮らすうち、同じく超お金持ち小学生の丹沢千鶴と小森紗奈もヒモの輪に加わって…。なんでもさせて…
メイドの岸さん,https://cf.image-cdn.k-manga.jp/cover_200/13/132234/b132234_1_200.jpg,青年漫画,ギャグ・コメディ,柏木香乃,"巻600pt
              
              お気に入り：104人",ポンコツご主人がクールなメイドをとにかく喜ばせたいラブコメディ!主人公・早瀬貴一朗は日本有数の名家「早瀬一族」の次期当主で、数々のグループ企業を束ねるエリート中のエリート。そんな彼の唯一の欠点である”ドジ”をいつも…
「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠になる,https://cf.image-cdn.k-manga.jp/cover_200/15/153303/b153303_1_200.jpg,少年漫画,ギャグ・コメディ,芳橋アツシ,"巻600pt
              
              お気に入り：12人",「奴は四天王の中でも最弱」との風評を流され、魔王軍を解雇された”屍蠍のカプソディア”??。魔族圏を離れ、人類圏に潜伏することにした奴でしたが、ケモ耳勇者のパフィミアと、ちびっこ聖女のシャロンを救い、２人から超熱烈に…
黒ギャルさんが来る！,https://cf.image-cdn.k-manga.jp/cover_200/14/143603/b143603_1_200.jpg,少年漫画,ギャグ・コメディ,いつむ,"巻660pt
              
              お気に入り：30人","人生に疲れ切った社畜リーマン「黒田」は、ある日深夜のコンビニで黒ギャルJK「愛月」と出会う。ギャル特有の近すぎる距離にドギマギしつつ、財布を拾ってもらったのをきっかけに遊びに付き合わされるようになり？
      …"
久保さんは僕を許さない,https://cf.image-cdn.k-manga.jp/cover_200/12/122793/b122793_1_200.jpg,青年漫画,ギャグ・コメディ,雪森寧々,"巻570pt
              
                  
                
                4.3（4件）
              
              お気に入り：610人",その感情に“恋”と名が付く2歩手前…ヒロイン女子×モブ男子の、思春期スイートコメディ。高校1年生、白石純太は隣に居ても気づかれない、集合写真に写っているのに欠席だと思われて顔写真を合成される、そんな存在感ゼロの“モ…
私がモテないのはどう考えてもお前らが悪い！,https://cf.image-cdn.k-manga.jp/cover_200/11/119167/b119167_1_200.jpg,少年漫画,ギャグ・コメディ,谷川ニコ,"巻476pt
              
              お気に入り：74人",高校に行けば自然とモテると思っていた黒木智子…。しかし、無残な現実が襲いかかって来る！　この状況をどう打破するか？　女子高生の苦悩が始まる！　時々かわいいニューヒロイン誕生!?
異世界おじさん,https://cf.image-cdn.k-manga.jp/cover_200/14/140323/b140323_1_200.jpg,少年漫画,ギャグ・コメディ,殆ど死んでいる,"巻600pt
              
                  
                
                5.0（3件）
              
              お気に入り：91人",17年間の昏睡状態から目覚めたおじさんは、異世界からの帰還者だった……。甥っ子たかふみと共同生活を始めたおじさんが語る、新感覚異世界&異文化コメディ!
小林さんちのメイドラゴン,https://cf.image-cdn.k-manga.jp/cover_200/7/77454/b77454_1_200.jpg,青年漫画,ギャグ・コメディ,クール教信者,"巻600ptコマ40pt
              
                  
                
                5.0（2件）
              
              お気に入り：262人",アパートに住む小林さんのもとに、メイドとして押しかけて同居しているトール。トールは、人類のことは基本、下等で愚かだと思っているけれど、小林さんには過去に助けてもらった恩があるため、全力でご奉仕。今日もあの手この手で…
来世ではちゃんとします,https://cf.image-cdn.k-manga.jp/cover_200/11/112410/b112410_1_200.jpg,青年漫画,ギャグ・コメディ,いつまちゃん,"巻740pt
              
                  
                
                3.9（14件）
              
              お気に入り：425人",業務の乱れは性の乱れ！　承認欲求と好奇心と寂しさの狭間で、5人のパートナーと愛を営む桃ちゃん。彼氏いない歴＝年齢の、ボーイズラブ大好きギャル梅ちゃん。女たらしのクールなイケメン松田くん。トラウマから処女しか愛せなく…
嫁いできた嫁が愛想笑いばかりしてる,https://cf.image-cdn.k-manga.jp/cover_200/13/133290/b133290_1_200.jpg,少年漫画,ギャグ・コメディ,マツモトケンゴ,"巻600pt
              
                  
                
                4.7（3件）
              
              お気に入り：327人",武士・由依宗次郎の元に嫁いだお千夜は、いつも愛想笑いを浮かべていた。自分が不甲斐ないから打ち解けてくれない、と思う宗次郎。だけど、お千夜はただただ、旦那様が大好きなだけだった…!!不器用カップルのおしどりコメディ!…
まったく最近の探偵ときたら,https://cf.image-cdn.k-manga.jp/cover_200/13/136497/b136497_1_200.jpg,少年漫画,ギャグ・コメディ,五十嵐正邦,"巻570pt
              
              お気に入り：27人",世間を騒がす難事件を即解決! その名は名探偵・名雲桂一郎!! だったのは10年以上も昔の話……。名雲はいまや、ただの渋いおっさんになってしまった……。時代に取り残され、スマホすら扱えない彼のもとに、若さあふれる女子…
終末のハーレム ファンタジア学園,https://cf.image-cdn.k-manga.jp/cover_200/14/142680/b142680_1_200.jpg,青年漫画,ギャグ・コメディ,安藤岡田,"巻570pt
              
              お気に入り：37人",舞台は現代。想い人のアウレリアと同じ学校に進学すべく受験に挑んだアルクはあえなく不合格。アウレリアと離れ離れになってしまう。しかし、入学した先は女子生徒だらけの“ハーレム学園”で……!?　『終末のハーレム ファンタ…
カッパの飼い方,https://cf.image-cdn.k-manga.jp/cover_200/10/100173/b100173_1_200.jpg,青年漫画,ギャグ・コメディ,石川優吾,"巻完740pt
              
              お気に入り：39人",時は昭和40年代、世の中は高度経済成長を終え、本当の豊かさを求め始める人々の間で、ちょっとした河童ブームが起こっていた。都会でひとり暮らしをする「私」も、この度、新しい家族として仔河童の「かぁたん」を迎えることにし…
